iter	Logloss
0	0.6924766845
1	0.6919295595
2	0.6913434845
3	0.6907627894
4	0.6901021569
5	0.6894344189
6	0.6889325401
7	0.6884073036
8	0.6877668959
9	0.6871536889
10	0.6865996908
11	0.686098675
12	0.6854673721
13	0.6850016245
14	0.6845316351
15	0.6840372627
16	0.6836049394
17	0.682976583
18	0.6824524434
19	0.6819903736
20	0.6814639012
21	0.6808774113
22	0.6803626222
23	0.6798863776
24	0.6795125301
25	0.6790172099
26	0.6786178453
27	0.6781509755
28	0.6777475683
29	0.6773661828
30	0.6769686611
31	0.6765227842
32	0.6760242845
33	0.6755258112
34	0.6751869132
35	0.6747402727
36	0.6744101199
37	0.6740299121
38	0.6736500477
39	0.6732760103
40	0.6729006767
41	0.6725301309
42	0.6721643989
43	0.671902441
44	0.6716128567
45	0.671197401
46	0.6707861196
47	0.6704817598
48	0.6700255526
49	0.6697664233
50	0.6695807826
51	0.6691510238
52	0.6687500476
53	0.6682972753
54	0.667839133
55	0.6675424584
56	0.6672654165
57	0.6670253126
58	0.6667188747
59	0.6664446096
60	0.666115647
61	0.665795429
62	0.665359496
63	0.6650729174
64	0.6647572564
65	0.6644345166
66	0.6641382063
67	0.6637668263
68	0.6634526536
69	0.6630128883
70	0.6626999653
71	0.6624277674
72	0.6619798174
73	0.661614302
74	0.6612764987
75	0.6610663727
76	0.6608773266
77	0.6606128574
78	0.6602754825
79	0.6599538101
80	0.6596564781
81	0.6593751547
82	0.6590974043
83	0.6589458496
84	0.6586800101
85	0.6583308568
86	0.6580410916
87	0.6576088561
88	0.6571946871
89	0.657006795
90	0.6566686864
91	0.6564118704
92	0.6560693644
93	0.6557395823
94	0.6553326219
95	0.6550330016
96	0.6548315362
97	0.6545307072
98	0.654214594
99	0.6537862643
100	0.6534508824
101	0.6531552632
102	0.6529525032
103	0.6526482115
104	0.6522799896
105	0.6520263659
106	0.6517383866
107	0.6514232163
108	0.6512025161
109	0.6508059911
110	0.6504117511
111	0.6500965006
112	0.6497221778
113	0.6494865871
114	0.6492166769
115	0.6488779879
116	0.6485021687
117	0.6481781097
118	0.6479641671
119	0.6477193357
120	0.6475023144
121	0.6472250581
122	0.646937208
123	0.6466701745
124	0.6462942981
125	0.6459876551
126	0.6457121197
127	0.6453476348
128	0.644911498
129	0.6445995768
130	0.6443998944
131	0.6439852297
132	0.6437690059
133	0.6435173693
134	0.6432461547
135	0.6429285875
136	0.6426294877
137	0.6423925206
138	0.6420878286
139	0.6418184789
140	0.64155814
141	0.6413192837
142	0.6410401601
143	0.6407987618
144	0.6405843577
145	0.6403907634
146	0.6401073855
147	0.6399419804
148	0.6396514456
149	0.6393860609
150	0.6392009401
151	0.638949811
152	0.638571161
153	0.6384014579
154	0.6382272016
155	0.6378916376
156	0.6376498194
157	0.6372807295
158	0.6369895426
159	0.636785132
160	0.6365405937
161	0.6362107815
162	0.6358859669
163	0.6356376201
