iter	Passed	Remaining
0	22	22451
1	35	17677
2	45	15124
3	61	15386
4	73	14645
5	88	14680
6	100	14218
7	115	14309
8	125	13824
9	138	13743
10	147	13260
11	160	13214
12	170	12922
13	182	12849
14	199	13077
15	210	12951
16	222	12860
17	239	13063
18	246	12714
19	249	12223
20	253	11810
21	256	11412
22	261	11090
23	264	10754
24	268	10456
25	271	10182
26	275	9910
27	278	9666
28	282	9448
29	285	9243
30	288	9033
31	291	8827
32	295	8644
33	298	8467
34	301	8299
35	305	8172
36	308	8026
37	311	7894
38	314	7758
39	317	7623
40	320	7507
41	324	7391
42	327	7281
43	330	7177
44	333	7075
45	336	6980
46	340	6898
47	343	6812
48	346	6733
49	349	6645
50	353	6570
51	356	6496
52	359	6427
53	362	6357
54	365	6285
55	369	6229
56	372	6169
57	376	6107
58	379	6047
59	382	5990
60	385	5937
61	388	5883
62	391	5829
63	395	5780
64	398	5733
65	401	5687
66	404	5638
67	408	5593
68	411	5553
69	414	5508
70	417	5465
71	420	5423
72	423	5381
73	427	5345
74	430	5304
75	433	5271
76	437	5247
77	440	5210
78	444	5179
79	447	5151
80	451	5120
81	454	5087
82	457	5053
83	460	5025
84	463	4992
85	467	4964
86	470	4938
87	473	4908
88	477	4885
89	480	4857
90	484	4837
91	487	4811
92	490	4785
93	494	4761
94	497	4734
95	500	4716
96	504	4694
97	507	4672
98	511	4651
99	514	4628
100	517	4608
101	520	4584
102	523	4561
103	527	4541
104	530	4517
105	533	4502
106	536	4480
107	540	4460
108	543	4442
109	547	4427
110	551	4413
111	554	4393
112	557	4379
113	561	4360
114	564	4343
115	567	4326
116	570	4307
117	574	4296
118	577	4278
119	581	4261
120	584	4245
121	587	4226
122	590	4210
123	593	4192
124	596	4177
125	599	4161
126	603	4149
127	606	4133
128	609	4118
129	613	4103
130	616	4090
131	619	4076
132	622	4059
133	626	4046
134	629	4032
135	632	4018
136	635	4005
137	638	3990
138	642	3977
139	645	3963
140	648	3952
141	652	3939
142	655	3927
143	658	3913
144	661	3900
145	664	3888
146	667	3875
147	670	3861
148	673	3849
149	677	3836
150	680	3823
151	683	3811
152	686	3799
153	689	3787
154	692	3773
155	695	3762
156	698	3752
157	702	3741
158	705	3729
159	708	3717
160	711	3705
161	713	3693
162	717	3685
163	720	3675
164	723	3663
165	727	3653
166	730	3642
167	733	3631
168	736	3620
169	739	3610
170	742	3601
171	745	3590
172	748	3579
173	751	3568
174	755	3559
175	757	3548
176	760	3537
177	764	3530
178	767	3519
179	770	3509
180	773	3501
181	777	3492
182	780	3482
183	783	3473
184	786	3462
185	789	3453
186	792	3445
187	795	3435
188	798	3424
189	801	3415
190	804	3406
191	808	3400
192	810	3390
193	814	3381
194	816	3372
195	819	3362
196	822	3354
197	825	3345
198	828	3336
199	831	3326
200	834	3318
201	837	3309
202	840	3301
203	844	3293
204	847	3285
205	850	3277
206	853	3268
207	856	3259
208	859	3251
209	862	3243
210	865	3234
211	867	3226
212	870	3218
213	874	3211
214	877	3203
215	880	3195
216	883	3188
217	887	3181
218	890	3175
219	893	3166
220	896	3159
221	899	3153
222	902	3145
223	905	3137
224	908	3130
225	911	3122
226	914	3115
227	917	3107
228	920	3100
229	924	3093
230	927	3086
231	930	3079
232	933	3072
233	936	3065
234	939	3058
235	942	3051
236	945	3044
237	948	3037
238	952	3031
239	955	3024
240	958	3017
241	961	3011
242	964	3004
243	967	2997
244	970	2990
245	973	2983
246	976	2976
247	979	2970
248	982	2963
249	985	2957
250	989	2951
251	992	2945
252	995	2940
253	998	2933
254	1001	2926
255	1004	2919
256	1007	2914
257	1011	2907
258	1014	2901
259	1017	2895
260	1020	2889
261	1024	2885
262	1027	2878
263	1030	2871
264	1032	2865
265	1036	2858
266	1039	2853
267	1042	2847
268	1045	2840
269	1048	2834
270	1051	2828
271	1054	2822
272	1057	2815
273	1060	2809
274	1063	2803
275	1066	2797
276	1069	2791
277	1072	2785
278	1075	2779
279	1078	2774
280	1081	2768
281	1084	2762
282	1088	2756
283	1091	2750
284	1094	2745
285	1097	2739
286	1100	2733
287	1103	2727
288	1106	2722
289	1109	2717
290	1112	2711
291	1116	2706
292	1119	2701
293	1122	2695
294	1126	2691
295	1129	2685
296	1132	2680
297	1135	2675
298	1138	2669
299	1141	2664
300	1144	2658
301	1147	2653
302	1150	2647
303	1154	2642
304	1157	2637
305	1160	2631
306	1163	2626
307	1167	2622
308	1170	2616
309	1173	2611
310	1176	2606
311	1179	2601
312	1182	2596
313	1185	2590
314	1189	2586
315	1192	2581
316	1195	2575
317	1198	2571
318	1201	2565
319	1205	2561
320	1208	2556
321	1211	2551
322	1214	2546
323	1217	2540
324	1221	2536
325	1224	2531
326	1227	2527
327	1230	2521
328	1234	2517
329	1237	2512
330	1240	2506
331	1243	2501
332	1246	2496
333	1249	2491
334	1252	2486
335	1255	2481
336	1258	2476
337	1262	2472
338	1265	2467
339	1268	2462
340	1271	2457
341	1275	2453
342	1278	2448
343	1281	2443
344	1284	2438
345	1287	2434
346	1290	2429
347	1293	2424
348	1297	2419
349	1300	2414
350	1303	2410
351	1306	2405
352	1310	2401
353	1313	2397
354	1316	2392
355	1320	2388
356	1323	2383
357	1326	2378
358	1329	2373
359	1332	2368
360	1336	2365
361	1339	2360
362	1342	2355
363	1345	2351
364	1349	2347
365	1352	2342
366	1355	2338
367	1358	2333
368	1362	2329
369	1365	2325
370	1368	2320
371	1372	2316
372	1375	2312
373	1378	2308
374	1382	2303
375	1385	2299
376	1388	2295
377	1391	2290
378	1394	2285
379	1398	2281
380	1401	2276
381	1404	2271
382	1407	2266
383	1410	2262
384	1413	2258
385	1416	2253
386	1419	2249
387	1422	2244
388	1426	2240
389	1429	2235
390	1432	2231
391	1435	2227
392	1438	2221
393	1442	2217
394	1445	2213
395	1447	2208
396	1450	2203
397	1453	2198
398	1456	2194
399	1460	2190
400	1462	2185
401	1466	2180
402	1469	2176
403	1472	2172
404	1475	2168
405	1478	2163
406	1481	2158
407	1484	2154
408	1487	2149
409	1490	2145
410	1494	2141
411	1497	2136
412	1500	2132
413	1503	2128
414	1506	2124
415	1510	2119
416	1513	2115
417	1516	2110
418	1519	2106
419	1522	2102
420	1525	2097
421	1528	2093
422	1531	2089
423	1535	2085
424	1538	2081
425	1541	2077
426	1544	2073
427	1548	2069
428	1551	2065
429	1554	2061
430	1557	2056
431	1561	2052
432	1564	2048
433	1567	2043
434	1570	2039
435	1573	2034
436	1576	2031
437	1579	2026
438	1582	2022
439	1586	2018
440	1589	2014
441	1592	2010
442	1596	2006
443	1599	2002
444	1602	1998
445	1605	1994
446	1608	1989
447	1611	1985
448	1614	1981
449	1618	1977
450	1621	1973
451	1624	1969
452	1627	1965
453	1630	1961
454	1633	1957
455	1637	1954
456	1641	1949
457	1644	1945
458	1647	1941
459	1650	1937
460	1653	1933
461	1656	1929
462	1660	1925
463	1663	1921
464	1666	1917
465	1669	1913
466	1672	1908
467	1675	1904
468	1678	1900
469	1681	1896
470	1685	1892
471	1688	1888
472	1691	1884
473	1694	1880
474	1697	1876
475	1700	1872
476	1703	1868
477	1706	1863
478	1709	1859
479	1713	1855
480	1716	1851
481	1719	1847
482	1722	1843
483	1725	1839
484	1729	1836
485	1732	1832
486	1735	1828
487	1738	1824
488	1741	1820
489	1744	1815
490	1747	1811
491	1750	1807
492	1753	1803
493	1757	1799
494	1760	1796
495	1763	1792
496	1766	1788
497	1769	1784
498	1773	1780
499	1776	1776
500	1779	1771
501	1782	1768
502	1785	1764
503	1788	1760
504	1791	1756
505	1795	1752
506	1798	1748
507	1801	1744
508	1804	1740
509	1807	1736
510	1810	1732
511	1814	1729
512	1817	1725
513	1820	1720
514	1823	1716
515	1826	1713
516	1829	1709
517	1832	1705
518	1836	1701
519	1839	1697
520	1842	1693
521	1845	1690
522	1848	1686
523	1851	1682
524	1854	1678
525	1857	1674
526	1860	1670
527	1864	1666
528	1867	1662
529	1870	1658
530	1873	1654
531	1876	1650
532	1880	1647
533	1883	1643
534	1886	1639
535	1889	1635
536	1892	1631
537	1895	1627
538	1899	1624
539	1902	1620
540	1906	1617
541	1909	1613
542	1912	1609
543	1915	1605
544	1918	1601
545	1921	1598
546	1925	1594
547	1928	1590
548	1931	1586
