iter	MultiClass
0	1.383747956
1	1.381727155
2	1.379100778
3	1.376812959
4	1.374236938
5	1.371921847
6	1.369415485
7	1.36735157
8	1.365595421
9	1.363729863
10	1.361669084
11	1.359601015
12	1.357744838
13	1.355699652
14	1.353843175
15	1.351789765
16	1.35053233
17	1.348769519
18	1.347350985
19	1.346135813
20	1.344737654
21	1.343366009
22	1.342017473
23	1.340796408
24	1.339286981
25	1.337885821
26	1.336511198
27	1.335019445
28	1.333897879
29	1.332746686
30	1.331124904
31	1.329938956
32	1.328875159
33	1.327552909
34	1.32666852
35	1.325796311
36	1.324613271
37	1.323365368
38	1.322302558
39	1.321366346
40	1.320655391
41	1.319822485
42	1.318846801
43	1.317926595
44	1.316897977
45	1.315695509
46	1.314667516
47	1.31371837
48	1.313086737
49	1.312354595
50	1.311732116
51	1.310832665
52	1.309860168
53	1.309230395
54	1.30828897
55	1.307509617
56	1.306807149
57	1.305836235
58	1.304941318
59	1.304194735
60	1.303390472
61	1.302763946
62	1.302329665
63	1.301347844
64	1.300760096
65	1.300017381
66	1.299163914
67	1.298518241
68	1.297915196
69	1.297445994
70	1.296621272
71	1.295705931
72	1.294829582
73	1.293939414
74	1.293094865
75	1.292444839
76	1.291875472
77	1.291352769
78	1.290404468
79	1.289834059
80	1.289383609
81	1.288439219
82	1.288121122
83	1.287249911
84	1.286776223
85	1.28647001
86	1.285940197
87	1.285354868
88	1.284653232
89	1.283993178
90	1.283471146
91	1.282783522
92	1.282066489
93	1.281302729
94	1.280648343
95	1.280223604
96	1.279738513
97	1.279056405
98	1.278464269
99	1.277630838
